#,Title,Director,Genre,Shelf
60,Bernardine,Henry Levin,Musical/Romance,Movies
61,Bertie & Elizabeth: A Story of Love and Destiny,Giles Foster,Biography/Drama,Movies
62,Billy the Kid Returns / Saga of Death Valley / Days of Jesse James,Various,Western,Movies
63,Bite the Bullet / Geronimo,Various,Western,Movies
64,Black Dawn,Alexander Gruszynski,Action,Movies
65,Blazing Saddles,Mel Brooks,Western/Comedy,Movies
66,Boychoir,François Girard,Drama/Music,Movies
67,Brassed Off!,Mark Herman,Comedy/Drama,Movies
68,Bride & Prejudice,Gurinder Chadha,Romance/Musical,Movies
69,Broken Embraces,Pedro Almodóvar,Drama/Thriller,Movies
70,Brothers in Arms,Jean-Claude La Marre,Western,Movies
71,Butch Cassidy and the Sundance Kid,George Roy Hill,Western/Action,Movies
72,California Suite,Herbert Ross,Comedy/Drama,Movies
73,Campion: The Complete First Series,Various,TV Crime/Mystery,Movies
74,Campion: The Complete Second Series,Various,TV Crime/Mystery,Movies
75,Captain Corelli's Mandolin,John Madden,Drama/Romance,Movies
76,Castle Keep,Sydney Pollack,War/Drama,Movies
77,Casualties of War,Brian De Palma,War/Drama,Movies
78,Chase,Arthur Penn,Crime/Drama,Movies
79,Christmas Greats!,Various,Holiday/Music,Movies
80,Citizen Kane,Orson Welles,Drama/Mystery,Movies
81,City Hall,Harold Becker,Drama/Thriller,Movies
82,Clear and Present Danger,Phillip Noyce,Action/Thriller,Movies
83,Contact,Robert Zemeckis,Sci-Fi/Drama,Movies
84,Crimes of the Heart,Bruce Beresford,Comedy/Drama,Movies
85,Custer of the West,Robert Siodmak,Western,Movies
86,Doctor Who,Various,TV Sci-Fi,Movies
87,Donnie Darko,Richard Kelly,Sci-Fi/Thriller,Movies
88,Dookudu,Srinu Vaitla,Action/Comedy,Movies
89,El Cid,Anthony Mann,Adventure/Drama,Movies
90,Elizabeth,Shekhar Kapur,Biography/Drama,Movies
91,Elmer Gantry,Richard Brooks,Drama,Movies
92,Enemy Gates,Jean-Jacques Annaud,War/Drama,Movies
93,Eragon,Stefen Fangmeier,Fantasy/Adventure,Movies
94,Escape from Sobibor,Jack Gold,War/Drama,Movies
95,Eversmile New Jersey,Carlos Sorín,Comedy/Drama,Movies
96,Evita,Alan Parker,Biography/Musical,Movies
97,Five Card Stud,Henry Hathaway,Western,Movies
98,Flame and Citron,Ole Christian Madsen,War/Drama,Movies
99,Four Weddings and a Funeral,Mike Newell,Comedy/Romance,Movies
100,Fred Astaire Collection 1,Various,Musical/Classics,Movies
101,Gettin' Square,Jonathan Teplitzky,Comedy/Crime,Movies
102,Giant,George Stevens,Drama/Western,Movies
103,Gunfight at the O.K. Corral,John Sturges,Western,Movies
104,Hancock,Peter Berg,Action/Comedy,Movies
105,Heaven is for Real,Randall Wallace,Drama/Family,Movies
106,Hell in the Pacific,John Boorman,War/Drama,Movies
107,High Noon,Fred Zinnemann,Western,Movies
108,High Society,Charles Walters,Musical/Comedy,Movies
109,Hollywood Gold Series: The Way Ahead,Carol Reed,War/Drama,Movies
110,Inglourious Basterds,Quentin Tarantino,War/Drama,Movies
111,It's a Wonderful Life,Frank Capra,Drama/Family,Movies
112,James Stewart: Made for Each Other / Pot o' Gold,Various,Comedy/Romance,Movies
113,Jane Eyre,Robert Stevenson,Drama/Romance,Movies
114,Jerry Maguire,Cameron Crowe,Comedy/Romance,Movies
115,Jesus of Nazareth,Franco Zeffirelli,Religious/Drama,Movies
116,John Wayne Collector's Classics Vol 3,Various,Western,Movies
117,John Wayne: The Trail Beyond / West of the Divide,Various,Western,Movies
118,John Wayne: Winds of the Wasteland,Mack V. Wright,Western,Movies
119,Jules Dassin's Rififi,Jules Dassin,Crime/Thriller,Movies
120,King of Kings,Nicholas Ray,Biography/Drama,Movies
121,La Spagnola,Steve Jacobs,Comedy/Drama,Movies
122,La Vie en Rose,Olivier Dahan,Biography/Musical,Movies
123,Last Train from Gun Hill,John Sturges,Western,Movies
124,Mae West: 6 Disc Box Set,Various,Comedy/Classics,Movies
125,Man from Alamo,Budd Boetticher,Western,Movies
126,Mao's Last Dancer,Bruce Beresford,Biography/Drama,Movies
127,Marley & Me,David Frankel,Comedy/Drama,Movies
128,Marty,Delbert Mann,Drama/Romance,Movies
129,Meet the Parents,Jay Roach,Comedy,Movies
130,Meet the Parents: Platinum Collection,Jay Roach,Comedy,Movies
131,Million Dollar Baby,Clint Eastwood,Drama/Sport,Movies
132,Mirror Mirror,Tarsem Singh,Fantasy/Adventure,Movies
133,Monster-in-Law,Robert Luketic,Comedy/Romance,Movies
134,Monty Python's The Meaning of Life,Terry Jones,Comedy,Movies
135,Mrs Caldicot's Cabbage War,Ian Sharp,Comedy/Drama,Movies
136,My Afternoons with Margueritte,Jean Becker,Comedy/Drama,Movies
137,My Best Friend's Wedding,P.J. Hogan,Comedy/Romance,Movies
138,Napoleon Dynamite,Jared Hess,Comedy,Movies
139,No Strings Attached,Ivan Reitman,Comedy/Romance,Movies
140,Not the Albino,Various,Comedy,Movies
141,Notting Hill,Roger Michell,Comedy/Romance,Movies
142,Ocean's Eleven,Steven Soderbergh,Crime/Thriller,Movies
143,One Day Before Chance,Various,Drama,Movies
144,P.I. Tchaikovsky,Various,Documentary,Movies
145,Pearl Harbor,Michael Bay,War/Drama,Movies
146,Pirates of the Caribbean 4: On Stranger Tides,Rob Marshall,Adventure/Fantasy,Movies
147,Punchline,David Seltzer,Comedy/Drama,Movies
148,Purple Violets,Edward Burns,Comedy/Romance,Movies
149,Purple Violets / Eversmile New Jersey,Various,Comedy/Romance,Movies
150,Quantum of Solace,Marc Forster,Action/Thriller,Movies
151,Rage at Dawn,Tim Whelan,Western,Movies
152,Rio Bravo,Howard Hawks,Western,Movies
153,Rio Grande,John Ford,Western/War,Movies
154,Riverdance,John McColgan,Music/Dance,Movies
155,Road to Perdition,Sam Mendes,Crime/Drama,Movies
156,Robin Hood: Prince of Thieves,Kevin Reynolds,Adventure/Action,Movies
157,Rocketman,Dexter Fletcher,Biography/Musical,Movies
158,Rogue Male,Clive Donner,Thriller/Drama,Movies
159,Ronnie Barker: Classic Comedy,Various,TV Comedy,Movies
160,Rumor Has It...,Rob Reiner,Comedy/Romance,Movies
161,Run All Night,Jaume Collet-Serra,Action/Thriller,Movies
162,Rush Hour,Brett Ratner,Action/Comedy,Movies
163,Saddle Valentine,Various,Western,Movies
164,Seducing Doctor Lewis,Jean-François Pouliot,Comedy,Movies
165,Separate Lies,Julian Fellowes,Drama/Romance,Movies
166,Six Shooter Classics: Broken Arrow,Delmer Daves,Western,Movies
167,Six Shooter Classics: Ulzana's Raid,Robert Aldrich,Western,Movies
168,Skyfall,Sam Mendes,Action/Thriller,Movies
169,Sniper: Special Ops,Fred Olen Ray,Action/War,Movies
170,Soldiers Without Guns,Will Watson,Documentary,Movies
171,Songcatcher,Maggie Greenwald,Drama/Music,Movies
172,South of Heaven / West of Hell,Various,Western,Movies
173,Talk to Her,Pedro Almodóvar,Drama,Movies
174,The Alamo,John Wayne,Western/War,Movies
175,The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,Western/Drama,Movies
176,The Aviator,Martin Scorsese,Biography/Drama,Movies
177,The Barbarian Invasions,Denys Arcand,Comedy/Drama,Movies
178,The Bells of San Angelo,William Witney,Western,Movies
179,The Big Man,David Leland,Crime/Drama,Movies
180,The Big Stampede,Tenny Wright,Western,Movies
181,The Big Stampede / Colorado,Various,Western,Movies
182,The Birdcage,Mike Nichols,Comedy,Movies
183,The Book Thief,Brian Percival,Drama/War,Movies
184,The Boy in the Plastic Bubble,Randal Kleiser,Drama/Romance,Movies
185,The Break-Up,Peyton Reed,Comedy/Romance,Movies
186,The Comancheros,Michael Curtiz,Western,Movies
187,The Concert,Radu Mihăileanu,Comedy/Drama,Movies
188,The Concorde... Airport '79,David Lowell Rich,Action/Thriller,Movies
189,The Day Will Dawn,Harold French,War/Drama,Movies
190,The Exorcism of Emily Rose,Scott Derrickson,Horror/Drama,Movies
191,The Far Country,Anthony Mann,Western,Movies
192,The Four Seasons,Alan Alda,Comedy/Drama,Movies
193,The Girl with the Dragon Tattoo,David Fincher,Crime/Thriller,Movies
194,The Gold Rush,Charlie Chaplin,Comedy/Classics,Movies
195,"The Good, the Bad and the Ugly",Sergio Leone,Western,Movies
196,The Great Gatsby,Baz Luhrmann,Drama/Romance,Movies
197,The Hudsucker Proxy,Coen Brothers,Comedy/Fantasy,Movies
198,The Hundred-Year-Old Man Who Climbed Out the Window and Disappeared,Felix Herngren,Comedy/Adventure,Movies
199,The Hunted,William Friedkin,Action/Thriller,Movies
200,The Hurricane,Norman Jewison,Biography/Drama,Movies
201,The Informant!,Steven Soderbergh,Comedy/Drama,Movies
202,The Joy Luck Club,Wayne Wang,Drama,Movies
203,The Last of the Mohicans,Michael Mann,Action/Adventure,Movies
204,The Left Handed Gun,Arthur Penn,Western,Movies
205,The Man from Utah,Robert N. Bradbury,Western,Movies
206,The Party,Blake Edwards,Comedy,Movies
207,The Punisher,Jonathan Hensleigh,Action/Crime,Movies
208,The Roarer,Various,Western,Movies
209,The Saddest Music in the World,Guy Maddin,Comedy/Musical,Movies
210,The Shooting,Monte Hellman,Western,Movies
211,The Silver Fleet,Vernon Sewell,War/Drama,Movies
212,The Soloist,Joe Wright,Biography/Drama,Movies
213,The Survivors,Michael Ritchie,Comedy,Movies
214,The Taking of Pelham 123,Tony Scott,Action/Thriller,Movies
215,The Ultimate Bourne Collection,Various,Action/Thriller,Movies
216,The Very Best of...,Various,Music/Concert,Movies
217,The War Collection Volume 2,Various,War,Movies
218,The World's Fastest Indian,Roger Donaldson,Biography/Drama,Movies
219,This Must Be the Place,Paolo Sorrentino,Comedy/Drama,Movies
220,Those Magnificent Men in Their Flying Machines,Ken Annakin,Adventure/Comedy,Movies
221,Till the Clouds Roll By,Richard Whorf,Musical/Biography,Movies
222,"To Sir, with Love",James Clavell,Drama,Movies
223,"To Sir, with Love / Guess Who's Coming to Dinner",Various,Drama,Movies
224,Two Men in a Tinnie,Various,Documentary,Movies
225,Vento Do Oeste / Billy the Kid,Various,Western,Movies
226,When Elizabeth the Queen Mother: A Woman of Her Century,Various,Documentary,Movies
227,Without Honor,Irving Pichel,Western,Movies
228,Wuthering Heights,William Wyler,Drama/Romance,Movies
229,Zulu,Cy Endfield,War/Drama,Movies
230,30 Years of Maximum R&B Live,Various,Music/Concert,Music
231,Bee Gees: One Night Only,Various,Music/Concert,Music
232,Cliff Richard: The Shadows 2009,Various,Music/Concert,Music
233,Cream,Various,Music/Documentary,Music
234,Diana Krall: Live at the Montreal Jazz Festival,Various,Music/Concert,Music
235,Eagles: Hell Freezes Over,Beth McCarthy-Miller,Music/Concert,Music
236,Elvis Live: The 25th Anniversary Concert,Various,Music/Concert,Music
237,Eric Burdon: The Animals Greatest Hits Live,Various,Music/Concert,Music
238,Jimi Hendrix / Led Zeppelin: Woodstock - The Director's Cut,Various,Music/Concert,Music
239,John Denver: The Wildlife Concert,Various,Music/Concert,Music
240,Liberace: Live in Las Vegas Hilton,Various,Music/Concert,Music
241,Liberace: Live in London,Various,Music/Concert,Music
242,Liberace: Live in Vegas,Various,Music/Concert,Music
243,Liberace: Valentine's Day Live in Las Vegas Hilton,Various,Music/Concert,Music
244,Live from Austin TX: Johnny Cash,Various,Music/Concert,Music
245,Michael Jackson's This Is It,Kenny Ortega,Music/Documentary,Music
246,Pink Floyd: In Concert P.U.L.S.E.,Various,Music/Concert,Music
247,Red Rocks Live: Neil Young - Friends & Relatives,Various,Music/Concert,Music
248,Spandau Ballet: The Last Waltz,Various,Music/Concert,Music
249,The Band: The Authorized Biography,Various,Music/Documentary,Music
250,The Beatles: 1,Various,Music/Concert,Music
251,The Beatles: Yesterday,Various,Music/Documentary,Music
252,Year of the Horse,Jim Jarmusch,Music/Documentary,Music
253,Are You Being Served?: Series Four,Various,TV Comedy,TV Series
254,Blackadder 2,Various,TV Comedy,TV Series
255,Call the Midwife: Series (2 DISCS),Various,TV Drama,TV Series
256,Call the Midwife: Series Two,Various,TV Drama,TV Series
257,Death Us Do Part,Various,TV Comedy,TV Series
258,Dick Emery,Various,TV Comedy,TV Series
259,Father Ted: The Definitive Collection,Various,TV Comedy,TV Series
260,Flight of the Conchords: The Complete First Season,Various,TV Comedy/Musical,TV Series
261,Forever Summer with Nigella,Various,TV Cooking,TV Series
262,Lark Rise to Candleford: Complete Series,Various,TV Drama,TV Series
263,Miss Fisher's Murder Mysteries: Series 1 Volume 1,Various,TV Crime/Mystery,TV Series
264,Miss Fisher's Murder Mysteries: Series 1 Volume 2,Various,TV Crime/Mystery,TV Series
265,Monty Python's And Now For Something Completely Different,Ian MacNaughton,TV Comedy,TV Series
266,Mother & Son: Volume 3,Various,TV Comedy,TV Series
267,Mrs. Brown's Boys: Season One,Ben Kellett,TV Comedy,TV Series
268,Mrs. Brown's Boys: Season Two,Ben Kellett,TV Comedy,TV Series
269,Peanuts: Lucy,Various,TV Animation,TV Series
270,Penny Hill: Double Helpings!,Various,TV Comedy,TV Series
271,Peter Kay's Car Share,Peter Kay,TV Comedy,TV Series
272,Sex and the City: The Complete Season 5,Various,TV Comedy/Drama,TV Series
273,Some Mothers Do 'Ave 'Em: The Complete Second Series,Various,TV Comedy,TV Series
274,Steptoe & Son: The Complete Second Series,Various,TV Comedy,TV Series
275,Steptoe and Son: Series Two,Various,TV Comedy,TV Series
276,Tenko: Series 1 Episodes 1-5,Various,TV Drama,TV Series
277,The Best of British Comedy,Various,TV Comedy,TV Series
278,The Best of British Comedy: Archive Collection,Various,TV Comedy,TV Series
279,The Best of Charlie's Angels TV,Various,TV Crime/Action,TV Series
280,The Best of Peter Cook & Dudley Moore,Various,TV Comedy,TV Series
281,The Best of Spike Milligan,Various,TV Comedy,TV Series
282,The Dick Cavett Show: Comic Legends,Various,TV Comedy,TV Series
283,The Lucy Show: Volume 6,Various,TV Comedy,TV Series
284,The Tudors: The Complete Second Season,Various,TV Drama,TV Series
285,Till Death Us Do Part: The Complete 1972 and 1974 Series,Various,TV Comedy,TV Series
